City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Sola,VU,-13.8833,167.55,80.2,83,100,27.09,heavy intensity rain
313,Port Macquarie,AU,-31.4333,152.9167,62.49,94,75,6.91,broken clouds
314,Jacmel,HT,18.2342,-72.5347,89.44,63,33,6.62,scattered clouds
315,Buta,CD,2.7858,24.73,79.95,41,100,1.57,overcast clouds
316,Sorland,NO,67.667,12.6934,31.86,78,94,24.58,overcast clouds
317,Huarmey,PE,-10.0681,-78.1522,76.69,71,12,12.8,few clouds
318,Korla,CN,41.7597,86.1469,26.56,46,100,4.05,overcast clouds
319,Puerto Madero,MX,14.7208,-92.4215,89.8,48,0,11.5,clear sky
320,Nuristan,AF,35.3,70.8333,6.49,36,27,12.86,scattered clouds
321,Namwala,ZM,-15.7504,26.4384,66.22,96,100,2.73,overcast clouds
322,Jasper,US,37.2001,-94.3502,28.02,49,0,4.0,clear sky
323,Kathmandu,NP,27.7167,85.3167,43.02,100,75,3.44,broken clouds
324,Encheng,CN,22.1839,112.3026,48.9,75,7,6.11,clear sky
325,Tarimoro,MX,20.2833,-100.75,76.19,18,5,5.35,clear sky
326,Zemio,CF,5.0314,25.1361,78.8,26,99,0.87,overcast clouds
327,Burriana,ES,39.889,-0.085,58.82,63,100,0.45,overcast clouds
328,Morganton,US,35.7454,-81.6848,64.47,81,100,1.01,overcast clouds
329,Sur,OM,22.5667,59.5289,70.59,61,0,5.46,clear sky
330,Arequipa,PE,-16.3989,-71.535,69.87,42,0,11.5,clear sky
331,Diu,IN,20.7141,70.9822,63.34,58,5,5.7,clear sky
332,Novokizhinginsk,RU,51.6115,109.5917,1.29,97,100,5.12,overcast clouds
333,Portland,US,45.5234,-122.6762,44.1,93,100,3.0,overcast clouds
334,Vilhena,BR,-12.7406,-60.1458,86.22,58,40,10.36,scattered clouds
335,Mamallapuram,IN,12.6264,80.1722,80.65,78,51,7.18,broken clouds
336,Agua Branca,BR,-5.8922,-42.6361,91.49,44,100,3.58,overcast clouds
337,La Ronge,CA,55.1001,-105.2842,-18.15,69,100,5.75,overcast clouds
338,Cap Malheureux,MU,-19.9842,57.6142,81.09,82,100,8.99,overcast clouds
339,Tsuruoka,JP,38.7217,139.8217,29.48,85,100,12.84,snow
340,Ixtapa,MX,20.7,-105.2,74.43,60,0,9.22,clear sky
341,Kuruman,ZA,-27.4524,23.4325,70.99,33,0,9.71,clear sky
342,Alofi,NU,-19.0595,-169.9187,78.69,78,100,8.05,overcast clouds
